指标名称,1月实际,2月实际,3月实际,4月实际,5月实际,6月实际,7月实际,8月实际,9月实际,10月实际,11月实际,12月实际,1月预测,2月预测,3月预测,4月预测,5月预测,6月预测,7月预测,8月预测,9月预测,10月预测,11月预测,12月预测,1月目标,2月目标,3月目标,4月目标,5月目标,6月目标,7月目标,8月目标,9月目标,10月目标,11月目标,12月目标
营业收入,1250000,1380000,1420000,1560000,1480000,1620000,1590000,1710000,,,,,,,,,,,,,1650000,1750000,1820000,1900000,1850000,2000000,1950000,2100000,2200000,2300000,2400000,2500000
营业成本,780000,850000,880000,960000,910000,1000000,980000,1050000,,,,,,,,,,,,,990000,1050000,1090000,1140000,1110000,1200000,1170000,1260000,1320000,1380000,1440000,1500000
税金及附加,12500,13800,14200,15600,14800,16200,15900,17100,,,,,,,,,,,,,16500,17500,18200,19000,18500,20000,19500,21000,22000,23000,24000,25000
销售费用,180000,195000,200000,220000,210000,230000,225000,240000,,,,,,,,,,,,,235000,245000,255000,266000,259000,280000,273000,294000,308000,322000,336000,350000
管理费用,120000,125000,128000,135000,132000,140000,138000,145000,,,,,,,,,,,,,140000,145000,148000,154000,151000,158000,155000,162000,168000,174000,180000,186000
研发费用,80000,85000,88000,95000,92000,100000,98000,105000,,,,,,,,,,,,,95000,100000,103000,108000,106000,112000,110000,116000,121000,126000,131000,136000
财务费用,25000,28000,26000,30000,29000,32000,31000,34000,,,,,,,,,,,,,30000,32000,31000,35000,34000,37000,36000,39000,41000,43000,45000,47000
其他收益,5000,8000,6000,10000,7000,12000,9000,15000,,,,,,,,,,,,,8000,10000,9000,12000,10000,14000,12000,17000,18000,19000,20000,22000
投资收益,12000,15000,13000,18000,16000,20000,18000,22000,,,,,,,,,,,,,15000,18000,16000,21000,19000,23000,21000,25000,27000,29000,31000,33000
营业利润,69500,107200,102800,132400,115200,133800,129100,155900,,,,,,,,,,,,,167000,198500,200800,221000,201500,230000,222500,250000,275000,294000,315000,331000
营业外收入,8000,12000,10000,15000,11000,18000,14000,20000,,,,,,,,,,,,,12000,15000,13000,18000,15000,21000,17000,23000,25000,27000,29000,31000
营业外支出,3000,5000,4000,6000,5000,7000,6000,8000,,,,,,,,,,,,,5000,6000,5000,7000,6000,8000,7000,9000,10000,11000,12000,13000
利润总额,74500,114200,108800,141400,121200,144800,137100,167900,,,,,,,,,,,,,174000,207500,208800,232000,210500,243000,232500,264000,290000,310000,332000,349000
所得税费用,18625,28550,27200,35350,30300,36200,34275,41975,,,,,,,,,,,,,43500,51875,52200,58000,52625,60750,58125,66000,72500,77500,83000,87250
净利润,55875,85650,81600,106050,90900,108600,102825,125925,,,,,,,,,,,,,130500,155625,156600,174000,157875,182250,174375,198000,217500,232500,249000,261750
